[admin.py:29] - 2023-11-21 04:16:33,787 - INFO - isUserAdmin - CheckTokenMembership returned: False
[builder.pyw:522] - 2023-11-21 23:30:32,042 - INFO - Successfully obfuscated file: Builder.py
[builder.pyw:451] - 2023-11-21 23:30:33,676 - INFO - Successfully pumped file: Builder.py
[connectionpool.py:1052] - 2023-11-21 23:30:57,792 - DEBUG - Starting new HTTPS connection (1): discord.com:443
[connectionpool.py:546] - 2023-11-21 23:30:58,933 - DEBUG - https://discord.com:443 "GET /api/webhooks/1176665578556104719/VDUmZQoqO-35il6dwizHbZ9KuCjbSBVFGdVXCh_cZlQX3_YOjPRch1eJMIJbzjNMYTaz HTTP/1.1" 200 None
[builder.pyw:420] - 2023-11-21 23:31:02,266 - INFO - Retrieved filename: Builder
[builder.pyw:386] - 2023-11-21 23:31:02,266 - INFO - Changed filetype: .py
[builder.pyw:440] - 2023-11-21 23:31:02,268 - INFO - Successfully changed config
[builder.pyw:522] - 2023-11-21 23:31:02,708 - INFO - Successfully obfuscated file: Builder.py
[builder.pyw:451] - 2023-11-21 23:31:04,526 - INFO - Successfully pumped file: Builder.py
[admin.py:92] - 2023-11-21 23:31:11,122 - INFO - Process handle <PyHANDLE:1476> returned code 0
